Name,Set,Type,Quantity,Prev Raw Price,Raw Price,Delta Raw Price,Prev PSA 10 Price,PSA 10 Price,Delta PSA 10 Price,Delta Raw Total,lookupID,ID
Carnivine,Crown Zenith,Normal,2,0,0.69,0.69,0,24.92,24.92,1.38,pokemon-crown-zenith/carnivine-12,868
Chatot,Crown Zenith,Normal,3,0,0.74,0.74,0,25.12,25.12,2.22,pokemon-crown-zenith/chatot-112,57
Cherubi,Crown Zenith,Normal,2,0,0.74,0.74,0,25.12,25.12,1.48,pokemon-crown-zenith/cherubi-11,349
Cherubi,Crown Zenith,Reverse Holo,1,0,1.25,1.25,0,27.13,27.13,1.25,pokemon-crown-zenith/cherubi-reverse-holo-11,807
Corphish,Crown Zenith,Normal,4,0,0.99,0.99,0,0.0,0.0,3.96,pokemon-crown-zenith/corphish-33,891
Corphish,Crown Zenith,Reverse Holo,1,0,1.25,1.25,0,27.14,27.14,1.25,pokemon-crown-zenith/corphish-reverse-holo-33,327
Crushing Hammer,Crown Zenith,Normal,1,0,0.78,0.78,0,25.29,25.29,0.78,pokemon-crown-zenith/crushing-hammer-125,1662
Digging Duo,Crown Zenith,Normal,4,0,1.1,1.1,0,0.0,0.0,4.4,pokemon-crown-zenith/digging-duo-126,431
Ditto,Crown Zenith,Normal,3,0,1.73,1.73,0,28.66,28.66,5.19,pokemon-crown-zenith/ditto-107,502
Dragalge,Crown Zenith,Normal,4,0,0.98,0.98,0,26.08,26.08,3.92,pokemon-crown-zenith/dragalge-82,966
Dubwool,Crown Zenith,Normal,5,0,0.88,0.88,0,25.67,25.67,4.4,pokemon-crown-zenith/dubwool-122,70
Dunsparce #GG23,Crown Zenith,Normal,1,0,1.65,1.65,0,31.92,31.92,1.65,pokemon-crown-zenith/dunsparce-gg23,536
Dusclops,Crown Zenith,Normal,4,0,0.73,0.73,0,25.09,25.09,2.92,pokemon-crown-zenith/dusclops-63,501
Eelektrik,Crown Zenith,Normal,5,0,0.67,0.67,0,0.0,0.0,3.35,pokemon-crown-zenith/eelektrik-48,456
Eevee V,Crown Zenith,Normal,1,0,2.77,2.77,0,35.85,35.85,2.77,pokemon-crown-zenith/eevee-v-108,356
Emolga,Crown Zenith,Normal,5,0,0.78,0.78,0,25.26,25.26,3.9,pokemon-crown-zenith/emolga-47,46
Enamorus,Crown Zenith,Normal,2,0,0.73,0.73,0,25.09,25.09,1.46,pokemon-crown-zenith/enamorus-67,1325
Energy Retrieval,Crown Zenith,Normal,1,0,0.89,0.89,0,25.61,25.61,0.89,pokemon-crown-zenith/energy-retrieval-127,143
Energy Search,Crown Zenith,Normal,2,0,1.0,1.0,0,26.14,26.14,2.0,pokemon-crown-zenith/energy-search-128,1333
Energy Switch,Crown Zenith,Normal,3,0,0.73,0.73,0,25.09,25.09,2.19,pokemon-crown-zenith/energy-switch-129,13
Exeggcute,Crown Zenith,Normal,4,0,0.73,0.73,0,0.0,0.0,2.92,pokemon-crown-zenith/exeggcute-57,405
Fighting Energy,Crown Zenith,Holo,1,0,2.21,2.21,0,32.29,32.29,2.21,pokemon-crown-zenith/fighting-energy-holo-157,1095
Friends in Sinnoh,Crown Zenith,Normal,1,0,0.76,0.76,0,25.17,25.17,0.76,pokemon-crown-zenith/friends-in-sinnoh-131,1788
Galarian Meowth,Crown Zenith,Normal,4,0,0.81,0.81,0,25.41,25.41,3.24,pokemon-crown-zenith/galarian-meowth-84,620
Galarian Mr. Mime,Crown Zenith,Normal,4,0,0.58,0.58,0,22.16,22.16,2.32,pokemon-crown-zenith/galarian-mr-mime-30,692
Galarian Perrserker,Crown Zenith,Normal,1,0,0.92,0.92,0,25.82,25.82,0.92,pokemon-crown-zenith/galarian-perrserker-85,127
Girafarig,Crown Zenith,Normal,3,0,0.73,0.73,0,25.09,25.09,2.19,pokemon-crown-zenith/girafarig-61,184
Glaceon VSTAR #GG40,Crown Zenith,Normal,1,0,25.9,25.9,0,95.46,95.46,25.9,pokemon-crown-zenith/glaceon-vstar-gg40,1747
Gloom,Crown Zenith,Normal,4,0,0.73,0.73,0,25.09,25.09,2.92,pokemon-crown-zenith/gloom-2,378
Grass Energy,Crown Zenith,Holo,1,0,2.58,2.58,0,14.05,14.05,2.58,pokemon-crown-zenith/grass-energy-holo-152,1545
Graveler,Crown Zenith,Normal,6,0,0.73,0.73,0,25.09,25.09,4.38,pokemon-crown-zenith/graveler-68,14
Great Ball,Crown Zenith,Normal,2,0,0.81,0.81,0,25.26,25.26,1.62,pokemon-crown-zenith/great-ball-132,908
Great Ball,Crown Zenith,Reverse Holo,1,0,1.25,1.25,0,27.14,27.14,1.25,pokemon-crown-zenith/great-ball-reverse-holo-132,492
Grubbin,Crown Zenith,Normal,5,0,0.73,0.73,0,0.0,0.0,3.65,pokemon-crown-zenith/grubbin-15,16
Hatterene VMAX,Crown Zenith,Normal,1,0,1.58,1.58,0,19.97,19.97,1.58,pokemon-crown-zenith/hatterene-vmax-66,521
Heliolisk,Crown Zenith,Normal,1,0,0.89,0.89,0,25.76,25.76,0.89,pokemon-crown-zenith/heliolisk-50,925
Helioptile,Crown Zenith,Normal,2,0,0.73,0.73,0,0.0,0.0,1.46,pokemon-crown-zenith/helioptile-49,590
Helioptile,Crown Zenith,Reverse Holo,4,0,1.47,1.47,0,18.5,18.5,5.88,pokemon-crown-zenith/helioptile-reverse-holo-49,50
Hisuian Samurott VStar #GG52,Crown Zenith,Normal,3,0,6.47,6.47,0,41.41,41.41,19.41,pokemon-crown-zenith/hisuian-samurott-vstar-gg52,709
Hoopa,Crown Zenith,Normal,1,0,1.07,1.07,0,12.67,12.67,1.07,pokemon-crown-zenith/hoopa-83,1022
Keldeo #GG07,Crown Zenith,Normal,3,0,4.87,4.87,0,53.95,53.95,14.61,pokemon-crown-zenith/keldeo-gg07,30
Koffing,Crown Zenith,Normal,6,0,0.73,0.73,0,0.0,0.0,4.38,pokemon-crown-zenith/koffing-75,341
Kricketot,Crown Zenith,Normal,4,0,0.87,0.87,0,0.0,0.0,3.48,pokemon-crown-zenith/kricketot-10,163
Krokorok,Crown Zenith,Normal,2,0,0.84,0.84,0,25.5,25.5,1.68,pokemon-crown-zenith/krokorok-79,351
Lairon,Crown Zenith,Normal,3,0,0.93,0.93,0,25.85,25.85,2.79,pokemon-crown-zenith/lairon-88,631
Larvesta,Crown Zenith,Normal,7,0,0.73,0.73,0,25.09,25.09,5.11,pokemon-crown-zenith/larvesta-24,206
Larvesta,Crown Zenith,Reverse Holo,4,0,1.15,1.15,0,26.72,26.72,4.6,pokemon-crown-zenith/larvesta-reverse-holo-24,9
Liepard,Crown Zenith,Normal,1,0,0.84,0.84,0,25.5,25.5,0.84,pokemon-crown-zenith/liepard-78,1489
Lunatone,Crown Zenith,Normal,2,0,2.15,2.15,0,30.31,30.31,4.3,pokemon-crown-zenith/lunatone-62,249
Luvdisc,Crown Zenith,Normal,3,0,0.73,0.73,0,0.0,0.0,2.19,pokemon-crown-zenith/luvdisc-35,81
Luxio,Crown Zenith,Normal,3,0,0.8,0.8,0,25.32,25.32,2.4,pokemon-crown-zenith/luxio-41,1174
Luxio,Crown Zenith,Normal,2,0,0.95,0.95,0,25.94,25.94,1.9,pokemon-crown-zenith/luxio-42,98
Luxray,Crown Zenith,Normal,3,0,0.89,0.89,0,25.7,25.7,2.67,pokemon-crown-zenith/luxray-43,63
Metang,Crown Zenith,Normal,6,0,0.73,0.73,0,15.91,15.91,4.38,pokemon-crown-zenith/metang-90,594
Nessa,Crown Zenith,Reverse Holo,1,0,1.27,1.27,0,30.55,30.55,1.27,pokemon-crown-zenith/nessa-reverse-holo-136,102
Oddish,Crown Zenith,Normal,10,0,0.73,0.73,0,25.09,25.09,7.3,pokemon-crown-zenith/oddish-1,61
Oddish,Crown Zenith,Reverse Holo,1,0,1.25,1.25,0,27.31,27.31,1.25,pokemon-crown-zenith/oddish-reverse-holo-1,1377
Oranguru,Crown Zenith,Reverse Holo,1,0,1.16,1.16,0,26.75,26.75,1.16,pokemon-crown-zenith/oranguru-reverse-holo-119,1046
Oricorio #GG04,Crown Zenith,Normal,5,0,2.12,2.12,0,36.62,36.62,10.6,pokemon-crown-zenith/oricorio-gg04,485
Pancham,Crown Zenith,Normal,7,0,0.73,0.73,0,25.09,25.09,5.11,pokemon-crown-zenith/pancham-72,782
Pangoro,Crown Zenith,Normal,3,0,0.87,0.87,0,11.1,11.1,2.61,pokemon-crown-zenith/pangoro-80,303
Pawniard,Crown Zenith,Normal,6,0,0.73,0.73,0,0.0,0.0,4.38,pokemon-crown-zenith/pawniard-91,28
Pawniard,Crown Zenith,Normal,6,0,0.98,0.98,0,26.03,26.03,5.88,pokemon-crown-zenith/pawniard-92,366
Pawniard,Crown Zenith,Reverse Holo,3,0,1.11,1.11,0,26.57,26.57,3.33,pokemon-crown-zenith/pawniard-reverse-holo-91,132
Pikachu,Crown Zenith,Normal,1,0,27.52,27.52,0,184.05,184.05,27.52,pokemon-crown-zenith/pikachu-160,1628
Pincurchin,Crown Zenith,Normal,6,0,0.76,0.76,0,25.2,25.2,4.56,pokemon-crown-zenith/pincurchin-56,306
Pincurchin,Crown Zenith,Reverse Holo,1,0,1.09,1.09,0,26.48,26.48,1.09,pokemon-crown-zenith/pincurchin-reverse-holo-56,1018
Poke Ball,Crown Zenith,Normal,1,0,0.81,0.81,0,25.41,25.41,0.81,pokemon-crown-zenith/poke-ball-137,584
Pokemon Catcher,Crown Zenith,Normal,3,0,0.68,0.68,0,24.88,24.88,2.04,pokemon-crown-zenith/pokemon-catcher-138,335
Purrloin,Crown Zenith,Normal,3,0,0.73,0.73,0,25.09,25.09,2.19,pokemon-crown-zenith/purrloin-77,34
Radiant Charjabug,Crown Zenith,Normal,1,0,1.11,1.11,0,19.24,19.24,1.11,pokemon-crown-zenith/radiant-charjabug-51,1161
Rare Candy,Crown Zenith,Normal,3,0,0.73,0.73,0,25.09,25.09,2.19,pokemon-crown-zenith/rare-candy-141,420
Rescue Carrier,Crown Zenith,Normal,4,0,0.9,0.9,0,25.73,25.73,3.6,pokemon-crown-zenith/rescue-carrier-142,582
Riolu,Crown Zenith,Normal,5,0,0.79,0.79,0,25.29,25.29,3.95,pokemon-crown-zenith/riolu-71,87
Rockruff,Crown Zenith,Normal,5,0,0.73,0.73,0,25.09,25.09,3.65,pokemon-crown-zenith/rockruff-73,164
Salandit,Crown Zenith,Normal,9,0,0.7,0.7,0,25.0,25.0,6.3,pokemon-crown-zenith/salandit-27,197
Salazzle,Crown Zenith,Normal,6,0,0.87,0.87,0,25.61,25.61,5.22,pokemon-crown-zenith/salazzle-28,107
Scyther,Crown Zenith,Normal,5,0,0.75,0.75,0,25.17,25.17,3.75,pokemon-crown-zenith/scyther-6,439
Seel,Crown Zenith,Normal,4,0,0.73,0.73,0,25.09,25.09,2.92,pokemon-crown-zenith/seel-29,195
Seel,Crown Zenith,Reverse Holo,3,0,1.4,1.4,0,11.1,11.1,4.2,pokemon-crown-zenith/seel-reverse-holo-29,124
Shaymin,Crown Zenith,Normal,2,0,0.8,0.8,0,25.26,25.26,1.6,pokemon-crown-zenith/shaymin-115,83
Shinx,Crown Zenith,Normal,5,0,1.04,1.04,0,26.28,26.28,5.2,pokemon-crown-zenith/shinx-39,109
Shinx,Crown Zenith,Normal,6,0,1.09,1.09,0,26.48,26.48,6.54,pokemon-crown-zenith/shinx-40,7
Skrelp,Crown Zenith,Normal,1,0,0.73,0.73,0,25.09,25.09,0.73,pokemon-crown-zenith/skrelp-81,390
Snorunt,Crown Zenith,Normal,4,0,0.73,0.73,0,25.09,25.09,2.92,pokemon-crown-zenith/snorunt-34,232
Solrock,Crown Zenith,Normal,5,0,1.35,1.35,0,27.54,27.54,6.75,pokemon-crown-zenith/solrock-69,82
Solrock #GG15,Crown Zenith,Normal,1,0,1.91,1.91,0,34.78,34.78,1.91,pokemon-crown-zenith/solrock-gg15,922
Starly,Crown Zenith,Normal,5,0,1.0,1.0,0,0.0,0.0,5.0,pokemon-crown-zenith/starly-110,175
Stoutland V,Crown Zenith,Normal,3,0,1.1,1.1,0,14.81,14.81,3.3,pokemon-crown-zenith/stoutland-v-116,713
Sunkern,Crown Zenith,Normal,6,0,0.73,0.73,0,25.09,25.09,4.38,pokemon-crown-zenith/sunkern-7,29
Sunkern,Crown Zenith,Reverse Holo,3,0,0.76,0.76,0,25.29,25.29,2.28,pokemon-crown-zenith/sunkern-reverse-holo-7,139
Switch,Crown Zenith,Normal,3,0,0.98,0.98,0,26.08,26.08,2.94,pokemon-crown-zenith/switch-144,393
Tangela,Crown Zenith,Normal,3,0,0.88,0.88,0,25.64,25.64,2.64,pokemon-crown-zenith/tangela-4,305
Tangrowth,Crown Zenith,Reverse Holo,1,0,1.22,1.22,0,27.01,27.01,1.22,pokemon-crown-zenith/tangrowth-reverse-holo-5,60
Tapu Lele,Crown Zenith,Normal,1,0,1.0,1.0,0,13.31,13.31,1.0,pokemon-crown-zenith/tapu-lele-64,1542
Trekking Shoes,Crown Zenith,Normal,3,0,1.11,1.11,0,26.57,26.57,3.33,pokemon-crown-zenith/trekking-shoes-145,937
Trekking Shoes [Prize Pack],Crown Zenith,Normal,3,0,2.18,2.18,0,30.95,30.95,6.54,pokemon-crown-zenith/trekking-shoes-prize-pack-145,428
Turtwig #GG31,Crown Zenith,Normal,1,0,3.15,3.15,0,53.28,53.28,3.15,pokemon-crown-zenith/turtwig-gg31,803
Ultra Ball,Crown Zenith,Normal,5,0,0.73,0.73,0,25.29,25.29,3.65,pokemon-crown-zenith/ultra-ball-146,799
Volcanion,Crown Zenith,Normal,3,0,1.1,1.1,0,17.75,17.75,3.3,pokemon-crown-zenith/volcanion-26,416
Volcanion,Crown Zenith,Reverse Holo,3,0,1.18,1.18,0,12.21,12.21,3.54,pokemon-crown-zenith/volcanion-reverse-holo-26,120
Volcarona,Crown Zenith,Reverse Holo,5,0,1.1,1.1,0,26.54,26.54,5.5,pokemon-crown-zenith/volcarona-reverse-holo-25,816
Wailmer,Crown Zenith,Normal,5,0,0.73,0.73,0,25.09,25.09,3.65,pokemon-crown-zenith/wailmer-31,655
Wailmer,Crown Zenith,Reverse Holo,1,0,1.16,1.16,0,51.8,51.8,1.16,pokemon-crown-zenith/wailmer-reverse-holo-31,541
Wooloo,Crown Zenith,Normal,4,0,0.74,0.74,0,25.12,25.12,2.96,pokemon-crown-zenith/wooloo-121,262
Yanma,Crown Zenith,Normal,6,0,0.73,0.73,0,0.0,0.0,4.38,pokemon-crown-zenith/yanma-8,25
Yungoos,Crown Zenith,Normal,5,0,0.92,0.92,0,0.0,0.0,4.6,pokemon-crown-zenith/yungoos-117,39
Zamazenta,Crown Zenith,Normal,1,0,1.25,1.25,0,22.2,22.2,1.25,pokemon-crown-zenith/zamazenta-97,1398
Zamazenta V,Crown Zenith,Normal,1,0,0.98,0.98,0,19.98,19.98,0.98,pokemon-crown-zenith/zamazenta-v-98,1227
Zarude,Crown Zenith,Reverse Holo,3,0,1.24,1.24,0,11.1,11.1,3.72,pokemon-crown-zenith/zarude-reverse-holo-16,167
Zeraora,Crown Zenith,Normal,4,0,0.92,0.92,0,25.82,25.82,3.68,pokemon-crown-zenith/zeraora-52,126
Zeraora VMAX,Crown Zenith,Normal,1,0,1.95,1.95,0,18.49,18.49,1.95,pokemon-crown-zenith/zeraora-vmax-54,784
Arven's Toedscool,Destined Rivals,Normal,1,0,2.22,2.22,0,0.0,0.0,2.22,pokemon-destined-rivals/arven's-toedscool-109,382
Breloom,Destined Rivals,Normal,1,0,0.56,0.56,0,24.92,24.92,0.56,pokemon-destined-rivals/breloom-6,464
Buizel,Destined Rivals,Normal,1,0,0.99,0.99,0,27.0,27.0,0.99,pokemon-destined-rivals/buizel-57,1230
Cornerstone Mask Ogerpon,Destined Rivals,Normal,1,0,1.54,1.54,0,29.65,29.65,1.54,pokemon-destined-rivals/cornerstone-mask-ogerpon-111,1164
Hippopotas,Destined Rivals,Normal,1,0,0.01,0.01,0,0.0,0.0,0.01,pokemon-destined-rivals/hippopotas-105,1187
Lurantis,Destined Rivals,Normal,1,0,1.0,1.0,0,27.04,27.04,1.0,pokemon-destined-rivals/lurantis-14,886
Manectric,Destined Rivals,Reverse Holo,1,0,1.78,1.78,0,30.8,30.8,1.78,pokemon-destined-rivals/manectric-reverse-holo-76,1731
Marnie's Impidimp,Destined Rivals,Normal,1,0,0.82,0.82,0,27.4,27.4,0.82,pokemon-destined-rivals/marnie's-impidimp-134,1532
Medicham,Destined Rivals,Normal,1,0,0.56,0.56,0,26.68,26.68,0.56,pokemon-destined-rivals/medicham-100,732
Mudbray,Destined Rivals,Normal,1,0,0.01,0.01,0,0.0,0.0,0.01,pokemon-destined-rivals/mudbray-107,252
Primeape,Destined Rivals,Reverse Holo,1,0,1.0,1.0,0,27.04,27.04,1.0,pokemon-destined-rivals/primeape-reverse-holo-91,370
Regirock ex,Destined Rivals,Normal,1,0,1.07,1.07,0,25.9,25.9,1.07,pokemon-destined-rivals/regirock-ex-101,906
Snover,Destined Rivals,Normal,1,0,0.5,0.5,0,23.74,23.74,0.5,pokemon-destined-rivals/snover-59,550
Spikemuth Gym,Destined Rivals,Normal,1,0,0.98,0.98,0,26.93,26.93,0.98,pokemon-destined-rivals/spikemuth-gym-169,1024
Team Rocket's Arbok,Destined Rivals,Normal,1,0,0.81,0.81,0,31.78,31.78,0.81,pokemon-destined-rivals/team-rocket's-arbok-113,1571
Team Rocket's Articuno,Destined Rivals,Normal,1,0,1.18,1.18,0,116.92,116.92,1.18,pokemon-destined-rivals/team-rocket's-articuno-51,1179
Team Rocket's Factory,Destined Rivals,Normal,1,0,1.67,1.67,0,30.35,30.35,1.67,pokemon-destined-rivals/team-rocket's-factory-173,522
Team Rocket's Hypno,Destined Rivals,Normal,1,0,0.73,0.73,0,25.71,25.71,0.73,pokemon-destined-rivals/team-rocket's-hypno-80,1328
Team Rocket's Porygon,Destined Rivals,Normal,1,0,1.06,1.06,0,27.65,27.65,1.06,pokemon-destined-rivals/team-rocket's-porygon-153,943
Bagon,Evolving Skies,Normal,1,0,0.7,0.7,0,24.87,24.87,0.7,pokemon-evolving-skies/bagon-107,270
Copycat,Evolving Skies,Normal,1,0,1.07,1.07,0,27.37,27.37,1.07,pokemon-evolving-skies/copycat-143,1418
Drowzee,Evolving Skies,Normal,1,0,0.53,0.53,0,9.06,9.06,0.53,pokemon-evolving-skies/drowzee-61,52
Eldgoss,Evolving Skies,Holo,1,0,0.74,0.74,0,0.0,0.0,0.74,pokemon-evolving-skies/eldgoss-holo-16,66
Feebas,Evolving Skies,Normal,1,0,0.99,0.99,0,26.0,26.0,0.99,pokemon-evolving-skies/feebas-37,1400
Hitmonchan,Evolving Skies,Normal,1,0,1.24,1.24,0,25.83,25.83,1.24,pokemon-evolving-skies/hitmonchan-81,1466
Lotad,Evolving Skies,Normal,1,0,0.73,0.73,0,24.98,24.98,0.73,pokemon-evolving-skies/lotad-32,1595
Luvdisc,Evolving Skies,Normal,1,0,1.05,1.05,0,26.2,26.2,1.05,pokemon-evolving-skies/luvdisc-39,710
Pumpkaboo,Evolving Skies,Normal,1,0,1.18,1.18,0,26.17,26.17,1.18,pokemon-evolving-skies/pumpkaboo-76,979
Pyroar,Evolving Skies,Normal,1,0,0.95,0.95,0,17.75,17.75,0.95,pokemon-evolving-skies/pyroar-23,1067
Scraggy,Evolving Skies,Normal,1,0,0.67,0.67,0,24.73,24.73,0.67,pokemon-evolving-skies/scraggy-98,1262
Scroll of the Flying Dragon,Evolving Skies,Normal,1,0,0.73,0.73,0,24.98,24.98,0.73,pokemon-evolving-skies/scroll-of-the-flying-dragon-153,714
Seedot,Evolving Skies,Normal,1,0,0.48,0.48,0,0.0,0.0,0.48,pokemon-evolving-skies/seedot-5,99
Seismitoad,Evolving Skies,Normal,1,0,0.79,0.79,0,25.21,25.21,0.79,pokemon-evolving-skies/seismitoad-90,337
Skiploom,Evolving Skies,Normal,1,0,0.93,0.93,0,25.71,25.71,0.93,pokemon-evolving-skies/skiploom-3,374
Slakoth,Evolving Skies,Normal,1,0,0.73,0.73,0,24.98,24.98,0.73,pokemon-evolving-skies/slakoth-129,639
Swoobat,Evolving Skies,Normal,1,0,0.5,0.5,0,0.0,0.0,0.5,pokemon-evolving-skies/swoobat-69,392
Tentacool,Evolving Skies,Normal,1,0,0.95,0.95,0,25.77,25.77,0.95,pokemon-evolving-skies/tentacool-26,640
Ursaring,Evolving Skies,Normal,1,0,0.69,0.69,0,9.94,9.94,0.69,pokemon-evolving-skies/ursaring-127,924
Bug Catcher,Fusion Strike,Normal,1,0,0.9,0.9,0,25.6,25.6,0.9,pokemon-fusion-strike/bug-catcher-226,1457
Centiskorch,Fusion Strike,Normal,1,0,0.82,0.82,0,25.35,25.35,0.82,pokemon-fusion-strike/centiskorch-48,834
Chansey,Fusion Strike,Reverse Holo,1,0,0.78,0.78,0,25.18,25.18,0.78,pokemon-fusion-strike/chansey-reverse-holo-202,560
Charjabug,Fusion Strike,Normal,1,0,0.95,0.95,0,25.83,25.83,0.95,pokemon-fusion-strike/charjabug-100,1002
Chewtle,Fusion Strike,Normal,1,0,0.98,0.98,0,25.38,25.38,0.98,pokemon-fusion-strike/chewtle-80,940
Cook,Fusion Strike,Normal,1,0,0.93,0.93,0,25.83,25.83,0.93,pokemon-fusion-strike/cook-228,1296
Dewpider,Fusion Strike,Normal,1,0,0.45,0.45,0,0.0,0.0,0.45,pokemon-fusion-strike/dewpider-19,768
Excadrill,Fusion Strike,Normal,1,0,0.73,0.73,0,24.98,24.98,0.73,pokemon-fusion-strike/excadrill-183,686
Falinks,Fusion Strike,Normal,1,0,0.61,0.61,0,24.56,24.56,0.61,pokemon-fusion-strike/falinks-155,913
Galarian Darumaka,Fusion Strike,Normal,1,0,0.88,0.88,0,25.54,25.54,0.88,pokemon-fusion-strike/galarian-darumaka-71,693
Galarian Darumaka,Fusion Strike,Reverse Holo,1,0,0.96,0.96,0,25.86,25.86,0.96,pokemon-fusion-strike/galarian-darumaka-reverse-holo-71,1473
Genesect V,Fusion Strike,Holo,1,0,1.1,1.1,0,21.16,21.16,1.1,pokemon-fusion-strike/genesect-v-185-holo,671
Growlithe,Fusion Strike,Normal,1,0,0.99,0.99,0,25.97,25.97,0.99,pokemon-fusion-strike/growlithe-32,1454
Indeedee,Fusion Strike,Normal,1,0,0.81,0.81,0,25.26,25.26,0.81,pokemon-fusion-strike/indeedee-127,1216
Judge,Fusion Strike,Normal,1,0,1.01,1.01,0,78.25,78.25,1.01,pokemon-fusion-strike/judge-235,385
Magcargo,Fusion Strike,Normal,1,0,0.81,0.81,0,25.26,25.26,0.81,pokemon-fusion-strike/magcargo-35,1725
Onix,Fusion Strike,Normal,1,0,0.55,0.55,0,24.31,24.31,0.55,pokemon-fusion-strike/onix-138,323
Pansear,Fusion Strike,Normal,1,0,0.73,0.73,0,24.98,24.98,0.73,pokemon-fusion-strike/pansear-37,67
Tynamo,Fusion Strike,Normal,1,0,0.88,0.88,0,25.35,25.35,0.88,pokemon-fusion-strike/tynamo-95,907
Vullaby,Fusion Strike,Normal,1,0,0.95,0.95,0,0.0,0.0,0.95,pokemon-fusion-strike/vullaby-172,1036
Aipom,Pokemon Go,Normal,22,0,0.37,0.37,0,23.63,23.63,8.14,pokemon-go/aipom-56,685
Aipom,Pokemon Go,Reverse Holo,2,0,1.08,1.08,0,26.36,26.36,2.16,pokemon-go/aipom-reverse-holo-56,718
Alolan Exeggutor V,Pokemon Go,Normal,1,0,0.93,0.93,0,16.93,16.93,0.93,pokemon-go/alolan-exeggutor-v-5,1387
Alolan Exeggutor V,Pokemon Go,Normal,4,0,2.15,2.15,0,22.2,22.2,8.6,pokemon-go/alolan-exeggutor-v-71,186
Alolan Raticate,Pokemon Go,Normal,28,0,0.89,0.89,0,11.83,11.83,24.92,pokemon-go/alolan-raticate-42,110
Alolan Raticate,Pokemon Go,Reverse Holo,2,0,0.91,0.91,0,25.68,25.68,1.82,pokemon-go/alolan-raticate-reverse-holo-42,1177
Alolan Rattata,Pokemon Go,Normal,21,0,0.73,0.73,0,11.83,11.83,15.33,pokemon-go/alolan-rattata-41,147
Alolan Rattata,Pokemon Go,Reverse Holo,3,0,0.98,0.98,0,26.02,26.02,2.94,pokemon-go/alolan-rattata-reverse-holo-41,847
Ambipom,Pokemon Go,Normal,17,0,0.73,0.73,0,25.02,25.02,12.41,pokemon-go/ambipom-57,260
Ambipom,Pokemon Go,Reverse Holo,1,0,0.98,0.98,0,26.13,26.13,0.98,pokemon-go/ambipom-reverse-holo-57,800
Ariados,Pokemon Go,Normal,17,0,0.77,0.77,0,25.16,25.16,13.09,pokemon-go/ariados-7,576
Ariados,Pokemon Go,Reverse Holo,4,0,1.03,1.03,0,26.16,26.16,4.12,pokemon-go/ariados-reverse-holo-7,1144
Articuno,Pokemon Go,Holo,9,0,1.21,1.21,0,25.13,25.13,10.89,pokemon-go/articuno-holo-24,272
Articuno,Pokemon Go,Reverse Holo,3,0,1.36,1.36,0,54.74,54.74,4.08,pokemon-go/articuno-reverse-holo-24,58
Bibarel,Pokemon Go,Normal,25,0,0.81,0.81,0,25.33,25.33,20.25,pokemon-go/bibarel-60,302
Bibarel,Pokemon Go,Reverse Holo,3,0,1.14,1.14,0,26.59,26.59,3.42,pokemon-go/bibarel-reverse-holo-60,26
Bidoof,Pokemon Go,Normal,26,0,0.88,0.88,0,25.02,25.02,22.88,pokemon-go/bidoof-59,918
Bidoof,Pokemon Go,Reverse Holo,3,0,4.92,4.92,0,147.99,147.99,14.76,pokemon-go/bidoof-reverse-holo-59,1301
Blanche,Pokemon Go,Normal,17,0,0.88,0.88,0,25.59,25.59,14.96,pokemon-go/blanche-64,1214
Blanche,Pokemon Go,Reverse Holo,2,0,0.99,0.99,0,26.02,26.02,1.98,pokemon-go/blanche-reverse-holo-64,1612
Blastoise,Pokemon Go,Holo,5,0,1.83,1.83,0,44.51,44.51,9.15,pokemon-go/blastoise-holo-17,277
Blastoise,Pokemon Go,Reverse Holo,1,0,1.95,1.95,0,54.12,54.12,1.95,pokemon-go/blastoise-reverse-holo-17,833
Blissey [Cosmos Holo],Pokemon Go,Holo,1,0,1.46,1.46,0,43.69,43.69,1.46,pokemon-go/blissey-cosmos-holo-52,863
Blissey,Pokemon Go,Holo,14,0,0.96,0.96,0,18.27,18.27,13.44,pokemon-go/blissey-holo-52,239
Blissey,Pokemon Go,Reverse Holo,2,0,1.14,1.14,0,39.22,39.22,2.28,pokemon-go/blissey-reverse-holo-52,1791
Bulbasaur,Pokemon Go,Normal,32,0,0.87,0.87,0,32.81,32.81,27.84,pokemon-go/bulbasaur-1,542
Bulbasaur,Pokemon Go,Reverse Holo,6,0,1.07,1.07,0,66.6,66.6,6.42,pokemon-go/bulbasaur-reverse-holo-1,157
Camerupt,Pokemon Go,Normal,16,0,0.97,0.97,0,25.94,25.94,15.52,pokemon-go/camerupt-14,1151
Camerupt,Pokemon Go,Reverse Holo,2,0,1.03,1.03,0,26.16,26.16,2.06,pokemon-go/camerupt-reverse-holo-14,1166
Candela,Pokemon Go,Normal,15,0,0.94,0.94,0,25.82,25.82,14.1,pokemon-go/candela-65,1071
Chansey,Pokemon Go,Normal,27,0,0.78,0.78,0,11.83,11.83,21.06,pokemon-go/chansey-51,687
Chansey,Pokemon Go,Reverse Holo,4,0,0.92,0.92,0,22.16,22.16,3.68,pokemon-go/chansey-reverse-holo-51,257
Charizard,Pokemon Go,Normal,11,0,1.47,1.47,0,59.73,59.73,16.17,pokemon-go/charizard-10,210
Charizard,Pokemon Go,Reverse Holo,5,0,2.33,2.33,0,72.68,72.68,11.65,pokemon-go/charizard-reverse-holo-10,1107
